Title,Brand,Screen_Size,Ram,Series,Rating,Color,Chipset,Wireless,Weight,No_of_Processor,Flash_Memory,Battery,No_of_Reviews,Price
"Razer Blade 15 Base Gaming Laptop 2020: Intel Core i7-10750H 6-Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Black",Razer,156 Inches,2933 MHz,Blade 15,4.4 out of 5 stars,Black,NVIDIA,Bluetooth 80211abgnac,469 pounds,6,16,1 Lithium Polymer batteries required included,"1,441 ratings","$1,989.79"
"MSI GF75 Thin Gaming Laptop, 17.3"" FHD 144Hz IPS Screen,Intel Core i5-10300H Processor Up to 4.50 GHz, NVIDIA GTX 1650Ti Graphics, 8GB RAM,512GB PCIe SSD, Win10 Home+2weeks SkyCare Support",MSI,173 Inches,45 GHz,GF75,4.4 out of 5 stars,Black,NVIDIA,Bluetooth,485 pounds,4,512 GB,1 Lithium Ion batteries required included,75 ratings,nan
"Dell Latitude 5480 14 Laptop, Intel Core i5 6300U 2.4Ghz, 16GB DDR4, 256GB M.2 SSD, USB Type-C, HDMI, Webcam, Windows 10 Pro x64 (Renewed)",Dell,14 Inches,16 GB DDR4,Latitude 5480,4.1 out of 5 stars,Black,Intel,80211ac,353 pounds,1,256 GB,None,15 ratings,nan
"HP 14 Laptop, AMD Ryzen 5 5500U, 8 GB RAM, 256 GB SSD Storage, 14-inch Full HD Display, Windows 10 Home, Thin & Portable, Micro-edge & Anti-glare Screen, Long Battery Life (14-fq1021nr, 2021)",HP,14 Inches,8 GB DDR4,14fq1021nr,4.5 out of 5 stars,Natural Silver,AMD,Bluetooth 80211ax,377 pounds,6,8 GB,1 Lithium Ion batteries required included,802 ratings,$359.12
"SAMSUNG Galaxy Book Pro Windows 11 Intel Evo Platform Laptop Computer 15.6"" AMOLED Screen 11th Gen Intel Core i7 Processor 16GB Memory 512GB SSD Long-Lasting Battery, Mystic Blue",SAMSUNG,156 Inches,512 GB SSD,Galaxy Book Pro,4.4 out of 5 stars,Blue,Intel,Bluetooth 80211ax,231 pounds,1,512 GB,1 Lithium Ion batteries required included,193 ratings,$679.00
"Dell Latitude E5570 15.6in Laptop, Core i5-6300U 2.4GHz, 8GB Ram, 256GB SSD, Windows 10 Pro 64bit (Renewed)",Dell,156 Inches,24 GHz,Dell Latitude,3.9 out of 5 stars,Black,Intel,24 GHz Radio Frequency 80111ac,46 pounds,2,256,1 Lithium Polymer batteries required included,158 ratings,nan
"Dell Inspiron 15 3000 (3593) Laptop Computer - 15.6 inch HD Anti-Glare Display (Intel Core 11th Gen i5-1035G1, 8GB, 256GB PCIe M.2 NVMe SSD, Camera) Windows 10 Home",Dell,156 Inches,36 GHz,Dell Inspiron,4.3 out of 5 stars,Black,Intel,Bluetooth,446 pounds,4,256 GB,1 Lithium Ion batteries required,155 ratings,$389.00
Dell Latitude 3420 Laptop 14” FHD - 11th Generation Intel Core i7- 1165G7 – 512GB SSD – 32GB DDR4 - Windows 10 Pro - Intel Iris Xe Graphics - New,Dell,14 Inches,SSD,Dell Latitude 3420 Laptop,nan,None,Intel,None,57 pounds,4,512 GB,1 Lithium Ion batteries required included,nan,"$1,049.99"
"2021 Newest Dell Inspiron 15 3000 Business Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1035G1, 16GB DDR4 RAM, 1TB PCIE SSD, Online Meeting Ready, Webcam, Wi-Fi, HDMI, Windows 10 Pro, Black",Dell,156 Inches,16 GB DDR4,Dell Inspiron,3.8 out of 5 stars,None,Intel,Bluetooth,4 pounds,4,1 TB,None,30 ratings,$599.00
"Dell G15 5520 15.6 Inch Gaming Laptop - FHD 120Hz Display, Intel Core i7-12700H, 16GB DDR5 RAM, 512GB SSD, NVIDIA RTX 3060 6GB GDDR6, Wi-Fi 6, Windows 11 - Spector Green",Dell,156 Inches,16 GB DDR5,Dell G15 5520 Gaming Notebook,4.3 out of 5 stars,Specter Green,NVIDIA,Bluetooth 80211ax,555 pounds,14,512 GB,1 Lithium Ion batteries required included,74 ratings,"$1,299.99"
"Dell Latitude 14 7000 7480 Business UltraBook - 14in (1366x768), Intel Core i5-6300U, 256GB SSD, 8GB DDR4, Backlit Keys, Webcam, Windows 10 Professional (Renewed)",Dell,14 Inches,8 GB DDR4,Latitude 12 7000 Series 7480 Notebook PC,4.4 out of 5 stars,Black,Intel,Bluetooth 80211ac,3 pounds,2,256 GB,1 Lithium Ion batteries required included,353 ratings,nan
"Dell Latitude E7470 14 inches Laptop, Core i7-6600U 2.6GHz, 16GB RAM , 512GB Solid State Drive, Windows 10 Pro 64Bit, CAM (Renewed)",Dell,14 Inches,512 GB SSD,Dell Latitude,4.3 out of 5 stars,None,Intel,None,332 pounds,2,512 GB,1 Lithium Ion batteries required included,54 ratings,nan
"HP 2022 15.6"" FHD Laptop, AMD Ryzen 5-5500U Processor(Beats Intel i7-1065G7), 16GB RAM, 512GB PCIe SSD, AMD Radeon Graphics, HD Webcam, Bluetooth, Wi-fi, Win 11, Blue, 32GB USB Business Card",HP,156 Inches,512 GB SSD,AMD Ryzen 5,4.5 out of 5 stars,Blue,AMD,80211ac,4 pounds,6,512 GB,1 Lithium Ion batteries required included,71 ratings,$599.00
"2022 Newest Upgraded HP Laptops for College Student & Business, 15.6 inch FHD, 11th Gen Intel Core i3-1115G4 32GB DDR4 RAM, 1TB PCIe SSD, Wi-Fi, Bluetooth, Windows 11 Silver ROKC MP (15-dw3033dx)",HP,156 Inches,1000 GB SSD,None,4.6 out of 5 stars,Intel Core i3,Intel,None,375 pounds,2,None,1 Lithium Ion batteries required included,8 ratings,$679.99
"Dell Latitude E5470 14 inches HD, Core i7-6600U 2.6GHz, 16GB RAM, 512GB Solid State Drive, Windows 10 Pro 64Bit, Webcam, (Renewed)",Dell,14 Inches,Integrated,None,4.1 out of 5 stars,None,Intel,None,539 pounds,None,512 GB,1 Lithium Ion batteries required included,6 ratings,nan
"Newest Dell Inspiron 3510 15.6"" HD Laptop, Intel Pentium N5030 Processor, 8GB DDR4 RAM, 1TB Hard Disk Drive, Webcam, WiFi, HDMI, Bluetooth, Windows 11 Home, Black",Dell,156 Inches,31 GHz,Inspiron,4.2 out of 5 stars,Black,Intel,Bluetooth,396 pounds,4,None,None,431 ratings,nan
HP 2022 Envy 13.3'' FHD IPS Touchscreen Laptop Evo Platform 4-Core Intel i5-1135G7 Iris Xe Graphics 16GB DDR4 512GB NVMe SSD WiFi AX HDMI Thunderbolt 4 Backlit KB Fingerpint Windows 11 Pro w/USB,HP,133 Inches,16 GB DDR4,13BA1093CL,3.9 out of 5 stars,Silver,Intel,80211ax,6 pounds,4,None,None,449 ratings,nan
"HP 2022 Newest ProBook 15.6"" Business Laptop FHD IPS Notebook - Intel Core i7-1255U, 32GB RAM, 2TB PCIe SSD, Backlit Keyboard, Webcam, Windows 10 Pro, 3in1 Accessories",HP,156 Inches,17 GHz,HP Probook,5.0 out of 5 stars,Silver,Intel,Bluetooth,374 pounds,4,None,None,3 ratings,"$1,379.00"
"HP Chromebook x360 14c-cc0013dx 14"" Full HD (1920 x 1080) IPS Touchscreen, Intel Core i3-1115G4, Intel UHD Graphics, 8 GB DDR4 RAM, 128 GB SSD Storage, Wifi and BT, Chrome OS, Mineral silver (Renewed)",HP,14 Inches,SSD,Intel Core i3,4.7 out of 5 stars,Mineral Silver,Intel,None,335 pounds,2,128 GB,1 Lithium Polymer batteries required included,25 ratings,nan
"Dell Latitude 7480 FHD (1920x1080) Ultrabook Business Laptop Notebook (Intel Core i7-7600U, 16GB Ram, 512GB Solid State SSD, HDMI, Camera, WiFi, Thunderbolt 3) Win 10 Pro (Renewed)",Dell,14 Inches,16 GB SDRAM,Latitude 7480,4.1 out of 5 stars,Black,Intel,Bluetooth,299 pounds,1,256 GB,1 Lithium Ion batteries required included,128 ratings,nan
Laptop HP X360 14b Chromebook 14in HD Touchscreen Intel Celeron 4GB DDR4 32GB eMMC WiFi Webcam BO Speakers Bluetooth Chrome Silver Color (Renewed),HP,14 Inches,28 GHz,None,4.5 out of 5 stars,Silver,Intel,Bluetooth,484 pounds,2,32 GB,None,88 ratings,nan
"HP Laptop 14-dq0090tg 14"" Intel Pentium Silver N5030 Intel UHD Graphics 605 4 GB RAM 128 GB SSD W10 Home in S Mode BT Webcam Jet Black(Renewed)",HP,14 Inches,10 Hours,None,4.1 out of 5 stars,Jet Black,Intel,None,422 pounds,None,4 GB,1 Lithium Polymer batteries required included,17 ratings,nan
"HP 2022 Newest Pavilion 15.6'' HD Laptop Computer,AMD Athlon Silver 3050U (Up to 3.2GHz),8GB RAM,256GB SSD,Webcam,USB-C,Fast Charger,Numpad,Wins 10 W/1 Year Microsoft 365,Mouse,Sleeve Gold",HP,15 Inches,8 GB DDR4,3050U,4.5 out of 5 stars,Gold,AMD,80211ac,654 pounds,2,None,None,449 ratings,$429.00
"HP - 14"" Laptop - AMD Ryzen 3 - 8GB Memory - 128GB SSD - Natural Silver - Model 14-fq0033dx (Renewed)",HP,14 Inches,SSD,14fq0033dx,2.9 out of 5 stars,None,AMD,None,459 pounds,2,8 GB,1 Lithium Ion batteries required included,2 ratings,nan
"2022 HP Stream 14inch Laptop, Intel Celeron N4020 Dual-Core Processor, 4GB DDR4 Memory,128GB Storage(64GB eMMC+Card),WiFi,Webcam,Bluetooth,1-Year Microsoft 365 Win10 S, Snow White | NoCo Bundle",HP,14 Inches,64 GB Emmc,HP Stream,4.4 out of 5 stars,Snow White,Intel,Bluetooth 80211a,317 pounds,2,128 GB,None,181 ratings,$239.00
"HP Probook 650 G1 15 Inch Business Laptop, Intel Core i5-4210M up to 3.2GHz, 16G DDR3, 256G SSD, DVD, DP, VGA, Windows 10 Pro 64 Bit-Multi-Language Supports English/Spanish/French(Renewed)",HP,15 Inches,32 GHz,PROBOOK 650G1,2.2 out of 5 stars,None,Intel,None,61 pounds,1,None,None,7 ratings,nan
"Generic New 15.6"" HD Laptop Replacement LED LCD Screen Compatible with msung Ltn156at30",None,156 Inches,None,None,4.1 out of 5 stars,None,None,None,8 ounces,None,None,None,59 ratings,$58.22
"HP 2022 Newest Pavilion 15.6"" FHD 1080P IPS Laptop, 8-Core AMD Ryzen 7-5700U(Up to 4.3GHz, Beat i7-1180G7), 32GB RAM, 1TB NVMe SSD, Numpad, HDMI, WiFi, USB-A&C, Fast Charge, Audio by B&O, Win11",HP,156 Inches,32 GB SDRAM,HP Pavilion,4.3 out of 5 stars,Horizon Blue,AMD,Bluetooth,46 pounds,8,32 GB,1 Lithium Ion batteries required,173 ratings,$629.00
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0030nr, 2021, Pale Rose Gold)",HP,14 Inches,4 GB DDR4,14dq0030nr,4.4 out of 5 stars,Pale rose gold,Intel,Bluetooth 80211abgnac,324 pounds,2,4 GB,1 Lithium Ion batteries required included,737 ratings,nan
"Dell Precision M7720 Intel Core i7-7820HQ X4 2.9GHz 32GB 1TB 17.3 pulgadas, Black (Renewed)",Dell,173 Inches,1000 GB,Dell Precision,3.1 out of 5 stars,None,NVIDIA,Bluetooth 80211abg,755 pounds,4,None,1 Lithium Ion batteries required,5 ratings,nan
"Lenovo ThinkPad T460s (20F9-0038US) Intel Core i5-6300U, 8GB RAM, 256GB SSD, Win10 Pro64 (Renewed)",Lenovo,14 Inches,2133 MHz,Lenovo Thinkpad,4.1 out of 5 stars,Black,Intel,Bluetooth,3 pounds,2,256,1 Lithium Ion batteries required included,77 ratings,nan
"HP 2023 Newest 15.6’’ FHD Screen Laptop, Quad Core Intel i5-1135G7 (Beat i7-1065G7,Upto 4.2GHz), Iris Xe Graphics, 8GB RAM, 512GB SSD, HD Webcam, WiFi 6, 9+ Hours Battery, Winows 11+Marxsolcables",HP,156 Inches,512 GB SSD,2023 Newest 15 Inch HP Laptop,nan,Natural Silver,Intel,Bluetooth 80211ab 24 GHz Radio Frequency,373 pounds,4,512 GB,1 Lithium Ion batteries required included,nan,$549.00
"Generic, AOHC 1314 inch (Rose Gold) Laptop Sleeve Case Laptop Stand Adjustable, Computer Shock Resistant Bag with Mouse Pad for MacBook, Window Surface",Generic,14 Inches,None,None,nan,Rose Gold,None,None,152 ounces,None,None,None,nan,$29.99
"ASUS - ROG Strix G15 Advantage Edition- 15.6"" QHD(2560 x 1440) Gaming Laptop - AMD Ryzen 9 5980HX - Radeon RX 6800M-Win 11 Home，with Accessories (32GB RAM | 1TB PCIe SSD)",ASUS,156 Inches,46 GHz,ROG Strix,5.0 out of 5 stars,Black,AMD,Bluetooth,551 pounds,8,None,1 Lithium Ion batteries required,2 ratings,"$1,459.90"
"2022 Newest Acer 311 Chromebook Laptop Student Business, MediaTek MT8183C 8-Core Processor,11.6"" HD Display, 4GB RAM, 32GB eMMC, Wi-Fi 5, Bluetooth 5, Upto 15 Hours Battery, Chrome OS +MarxsolCables",Acer,116 Inches,32 GB SSD,Newest Acer311 Chromebook,4.4 out of 5 stars,Silver,MediaTek,Bluetooth,298 pounds,8,32 GB,1 Lithium Ion batteries required included,103 ratings,$179.00
"Generic 15.6"" HD Screen Compatible with Lenovo G50-80 (5D10G74897 NT156WHM-N12) Laptop Replacement LED LCD",None,156 Inches,None,None,3.8 out of 5 stars,None,None,None,8 ounces,None,None,None,23 ratings,$55.00
"Generic 15.6"" HD Screen Compatible with Samsung Ltn156at37-l01 Laptop Replacement LED LCD",None,156 Inches,None,None,4.1 out of 5 stars,None,None,None,8 ounces,None,None,None,9 ratings,$47.96
"ASUS ExpertBook P2451 Thin & Light Business Laptop, 14” FHD, Intel Core i3-10110U, 128GB SSD, 8GB RAM, Backlit Keyboard, Military-Grade, Fingerprint, Wi-Fi 6, TPM 2.0, Win10 Pro, P2451FA-XH33",ASUS,14 Inches,8 GB DDR4,ASUS ExpertBook Laptop,4.0 out of 5 stars,Star Black,Intel,Bluetooth 80211ax,28 pounds,2,8 GB,1 Lithium Ion batteries required included,35 ratings,$649.99
"SAMSUNG Galaxy Chromebook 4 11.6” 64GB Laptop Computer w/ 4GB RAM, Gigabit WiFi, HD Intel Celeron Processor, Compact Design, Military Grade Durability, US Version, Silver",SAMSUNG,116 Inches,64 GB Emmc,Chromebook 4,4.4 out of 5 stars,Silver,Intel,80111ac,349 pounds,1,None,1 Lithium Ion batteries required included,"4,141 ratings",$159.88
"2022 Newest Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS, AMD Ryzen 3 3350U Quad-Core Processor, 20 GB DDR4 RAM, 1 TB SSD, Intel WiFi 6, Backlit KB, Fingerprint Reader, Amazon Alexa, Windows 11",Acer,156 Inches,35 GHz,Aspire 5,4.4 out of 5 stars,Silver,AMD,Bluetooth,397 pounds,4,2 TB,None,315 ratings,$569.99
"Microsoft Surface Laptop Go 2 - 12.4"" Touchscreen - Intel Core i5 8GB Memory - 128 SSD - Platinum (Latest Model)",Microsoft,1245 Inches,8 GB LPDDR4X,Surface Laptop Go 2,4.5 out of 5 stars,Platinum,Intel,80211ax,248 pounds,4,128 GB,1 Lithium Ion batteries required included,93 ratings,nan
"Lenovo Flex 5i 13 Chromebook 2-in-1 Laptop, Intel Core i3-1115G4, 8GB RAM, 64GB Storage, Intel UHD Graphics, 13.3"" FHD Touchscreen Display, Chrome OS, Abyss Blue",Lenovo,133,64 GB eMMC Storage,2021,4.3 out of 5 stars,Abyss Blue,Intel,Bluetooth,297 pounds,1,None,1 Lithium Polymer batteries required included,558 ratings,$325.00
"Windows 10 Laptop Computers, CHUWI GemiBook 13 inch Thin & Light Laptop 8G RAM 256GB SSD with Celeron J4125 Processor, 2160x1440 2K IPS Display Notebook, PD Fast Charge, Backlit Keyboard, Full Metal",CHUWI,13 Inches,25 GHz,GemiBook,4.1 out of 5 stars,GemiBook2021,Intel,Radio Frequency,282 pounds,4,256 GB,1 AAA batteries required,167 ratings,$269.00
"SAMSUNG Galaxy Book Pro Windows 11 Intel Evo Platform Laptop Computer 13.3"" AMOLED Screen 11th Gen Intel Core i5 Processor 8GB Memory 256GB SSD Long-Lasting Battery, Mystic Silver",SAMSUNG,133 Inches,256 GB SSD,Galaxy Book Pro,4.5 out of 5 stars,Silver,Intel,Bluetooth 80211ax,192 pounds,1,256 GB,1 Lithium Ion batteries required included,36 ratings,$739.00
"Alienware M15 R6 VR Ready Gaming Laptop - 15.6 inch QHD Display, 240Hz Refresh Rate, Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3070 8GB GDDR6, Windows 11- Black",Alienware,156 Inches,16 GB DDR4,Alienware m15 R6,4.2 out of 5 stars,Black,NVIDIA,Bluetooth,593 pounds,8,512 GB,1 Lithium Ion batteries required included,106 ratings,nan
"Dell Flagship G15 Ryzen Edition Gaming 15 Laptop 15.6"" FHD 120Hz Display AMD 6-Core Ryzen 5 5600H (Beats i7-10750H) 8GB RAM 256GB SSD GeForce RTX 3050 4GB Backlit USB-C WIFI6 Win10",Dell,156 Inches,8 GB DDR4,Dell G15 Ryzen Edition Gaming Laptop 5600H,4.5 out of 5 stars,Silver,NVIDIA,Bluetooth,539 pounds,6,256 GB,None,32 ratings,nan
"Alienware X17 R2 VR Ready Gaming Laptop - 17.3-inch FHD 360Hz 1ms Display, Core i7-12700H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3070Ti 8GB GDDR6, Bluetooth, Wi-Fi 6, USB-C, Windows 11 Home - White",Alienware,173 Inches,32 GB DDR5,Alienware x17 R2,4.5 out of 5 stars,Lunar Light,NVIDIA,Bluetooth 80211ax,682 pounds,14,None,1 Lithium Ion batteries required included,63 ratings,"$3,399.00"
"SAMSUNG Galaxy Book Pro Windows 11 Intel Evo Platform Laptop Computer 13.3"" AMOLED Screen 11th Gen Intel Core i5 Processor 8GB Memory 256GB SSD Long-Lasting Battery, Mystic Blue",SAMSUNG,133 Inches,256 GB SSD,Galaxy Book Pro,4.5 out of 5 stars,Blue,Intel,Bluetooth 80211ax,192 pounds,1,256 GB,1 Lithium Ion batteries required included,41 ratings,$629.99
"MSI Creator Z16 Professional Laptop: 16"" QHD+ 16:10 120Hz Touch Display, Intel Core i7 11800H, NVIDIA GeForce RTX 3060, 32GB RAM, 1TB NVME SSD, Thunderbolt 4, Win10 PRO, Lunar Gray (A11UET-013)",MSI,16 Inches,32 GB DDR4,Creator Z16 A11UET013,4.0 out of 5 stars,Black,NVIDIA,Bluetooth,507 pounds,8,32 GB,1 Lithium Polymer batteries required included,66 ratings,"$2,275.00"
"eHP 15-inch FHD Touchscreen IPS Display Laptop, AMD Ryzen 5 5500U, 8 GB RAM, 256 GB SSD, Windows 11 Home, Natural Silver",Generic,15 Inches,DDR4,15zef200s,nan,Silver,AMD,80211abgnac,None,1,None,None,nan,$498.00
"MSI GE76 Raider Gaming Laptop Intel Core i7-11800H, GeForce RTX 3060, 17.3"" FHD 144HZ, 32GB RAM2TB NVMe SSD, Wi-Fi6, Windows 10",MSI,173 Inches,3200 MHz,MSI GE76,4.5 out of 5 stars,Black,NVIDIA,Bluetooth,639 pounds,8,2 TB,1 Lithium Ion batteries required,134 ratings,"$1,779.99"
"Acer Swift 3 Thin & Light Laptop | 14"" Full HD IPS 100% sRGB Display | AMD Ryzen 7 5700U Octa-Core Processor | 8GB LPDDR4X | 512GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | SF314-43-R2YY",Acer,14 Inches,8 GB LPDDR4,SF31443R2YY,4.5 out of 5 stars,Silver,AMD,Bluetooth 80211ax,262 pounds,8,512,1 Lithium Ion batteries required included,674 ratings,$436.99
"EXCaliberPC 2022 MSI Delta 15 A5EFK-097 (AMD Ryzen 7 5800H, 16GB RAM, 1TB NVMe SSD, Radeon RX6700M, 15.6"" Full HD, Windows 11) Gaming Laptop",EXCaliberPC,156 Inches,AMD Radeon RX6700M,Delta 15 A5EFK,nan,16GB RAM,AMD,None,419 pounds,8,16 GB,None,nan,"$1,499.00"
"EXCaliberPC 2021 MSI WF76 11UI-647 (i7-11800H, 16GB RAM, 512GB NVMe SSD, Quadro T1200 4GB, 17.3"" FHD, Windows 11 Pro) Mobile Workstation Laptop",EXCaliberPC,173 Inches,46 GHz,WF76 11UI,nan,16GB RAM,NVIDIA,Bluetooth,572 pounds,8,None,None,nan,"$1,299.00"
"EXCaliberPC 2021 XPG Xenia 14 Gaming Laptop (i5-1135G7, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" WUXGA, Windows 10) XENIA14I5G11GXELX-BKCUS",EXCaliberPC,14 Inches,3200 MHz,XPG Xenia 14,nan,16GB RAM,Intel,Bluetooth,213 pounds,4,None,None,nan,$899.00
"HP 15.6 Inch Full HD Touchscreen Laptop AMD 8-Core Ryzen 7 5700U (Beat i7-10710U), 16GB DDR4 Ram 512GB SSD WiFi 6 Windows 10 Silver",HP,156 Inches,SSD,Dell Precision,4.1 out of 5 stars,Silver,AMD,Bluetooth,375 pounds,8,512 GB,1 Lithium Ion batteries required included,24 ratings,$665.99
"EXCaliberPC 2022 MSI Creator Z16P B12UHST-040 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3080Ti 16GB, 16"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16 Inches,NVIDIA GeForce RTX 3080 Ti,Creator Z16P B12UHST,nan,32GB RAM,NVIDIA,Bluetooth,527 pounds,14,None,None,nan,"$3,599.00"
"EXCaliberPC 2022 MSI Vector GP76 12UHSO-877 (i7-12650H, 16GB RAM, 1TB NVMe SSD, RTX 3080Ti 16GB, 17.3"" FHD 360Hz 3ms, Windows 11) Gaming Laptop",EXCaliberPC,173 Inches,NVIDIA GeForce RTX 3080 Ti,Vector GP76 12UHSO,nan,16GB RAM,NVIDIA,None,639 pounds,10,16 GB,None,nan,"$2,399.00"
"EXCaliberPC 2022 MSI Katana GF66 11UE-879 (i7-11800H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 15.6"" 144Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,156 Inches,NVIDIA GeForce RTX 3060,Katana GF66 11UE,nan,16GB RAM,NVIDIA,None,463 pounds,8,16 GB,None,nan,"$1,349.00"
"EXCaliberPC 2022 MSI Prestige 14Evo A12M-011 (i7-1260P, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14 Inches,512 GB SSD,Prestige 14Evo A12M,nan,16GB RAM,Intel,Bluetooth,36 pounds,12,None,None,nan,"$1,299.00"
"2022 MSI Vector GP76 12UE-270 (i7-12700H, 64GB RAM, 2TB NVMe SSD, RTX 3060 6GB, 17.3"" FHD 360Hz 3ms, Windows 11) Gaming Laptop",EXCaliberPC,173 Inches,2 TB SSD,Vector GP76 12UE,5.0 out of 5 stars,64GB RAM,NVIDIA,Bluetooth,639 pounds,14,None,None,3 ratings,"$1,949.00"
"EXCaliberPC 2022 MSI Stealth GS77 12UHS-083 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3080Ti 16GB, 17.3"" QHD 240Hz, Windows 11 Pro) Gaming Laptop",EXCaliberPC,173 Inches,NVIDIA GeForce RTX 3080 Ti,Stealth GS77 12UHS,5.0 out of 5 stars,32GB RAM,NVIDIA,Bluetooth,617 pounds,14,None,None,1 rating,"$2,699.00"
"EXCaliberPC 2022 MSI Summit E16FlipEvo A12MT-009 (i7-1260P, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 16"" FHD+ Touch, Windows 11 Pro) Professional Laptop",EXCaliberPC,16 Inches,Intel Iris Xe Graphics,Summit E16FlipEvo A12MT,nan,16GB RAM,Intel,Bluetooth,462 pounds,12,None,None,nan,"$1,149.00"
"ECOHERO Newest Windows 11 Laptop, 6GB RAM, 128GB SSD Storage, Intel Celeron J4005 Dual-Core Processor Up to 2.7GHz, 15.6-inch Full HD 1920x1080 Display Laptops Computers, 2.4G WiFi, BT4.0",ECOHERO,156 Inches,6 GB LPDDR4,Alpha,4.1 out of 5 stars,Silver,Intel,80211abgn,37 pounds,2,120 GB,1 12V batteries required,97 ratings,$239.00
"Generic 15.6"" HD Screen Compatible with HP ProBook 4510s 4515s 4520s 4525s 4530s 4535s 4540s 4545s Laptop Replacement LED LCD",None,156 Inches,None,None,4.0 out of 5 stars,None,None,None,112 ounces,None,None,None,48 ratings,$46.93
"EXCaliberPC 2022 ASUS ROG Zephyrus G14 GA402RK-G14.R96800 (AMD Ryzen 9 6900HS, 16GB RAM, 1TB NVMe SSD, AMD Radeon RX 6800S, 14"" WQXGA 120Hz, Windows 11) Gaming Notebook - Moonlight White",EXCaliberPC,14 Inches,SSD,ROG Zephyrus G14 GA402,5.0 out of 5 stars,16GB RAM,AMD,Bluetooth,364 pounds,8,16 GB,None,1 rating,"$1,649.00"
"Acer Chromebook Spin 511 R753T R753T-C1PT 11.6"" Touchscreen Convertible 2 in 1 Chromebook - HD - 1366 x 768 - Intel Celeron N5100 Quad-core (4 Core) 1.10 GHz - 8 GB RAM - 64 GB Flash Memory",Acer,116 Inches,8 GB LPDDR4X,Chromebook Spin 511 R753T,2.6 out of 5 stars,Shale Black,Intel,Bluetooth,289 pounds,1,64000 MB,None,2 ratings,$479.99
"ASUSVivoBook Student Business Laptop, 15.6"" FHD Display, i3-1115G4 CPU, 4GB DDR4 RAM, 128GB SSD, Windows 11 Home in S Mode, Slate Grey, Nowco Accessories",Generic,156,SSD,VivoBook,nan,None,Intel,Bluetooth,544 pounds,2,128 GB,1 Lithium Ion batteries required included,nan,$309.99
"2021 Newest Lenovo ThinkPad E15 Gen 2 15.6"" FHD 1080p Business Laptop (AMD 8-Core Ryzen 7 4700U (Beats i7-10710u), 16GB DDR4 RAM, 512GB PCIe SSD) Wi-Fi 6, Webcam, Windows 10 Pro + HDMI Cable",Lenovo,156 Inches,41 GHz,E15,4.2 out of 5 stars,Black,AMD,None,375 pounds,8,512 GB,1 Lithium Ion batteries required included,10 ratings,nan
"ASUS VivoBook 15 F515 Laptop, 15.6"" FHD Display, Intel i3-1115G4 CPU, 8GB DDR4 RAM, 128GB SSD, Windows 11 Home in S Mode, Slate Grey, F515EA-AH34",ASUS,156 Inches,8 GB,F515EAAH34,4.4 out of 5 stars,Slate Grey,Intel,Bluetooth,4 pounds,2,128 GB,1 Lithium Ion batteries required included,306 ratings,$299.99
"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L, Silver",Acer,156 Inches,35 GHz,Aspire 5,4.5 out of 5 stars,Silver,AMD,80211ac,397 pounds,2,128,1 Lithium Polymer batteries required included,"39,380 ratings",$299.00
"Laptop 15-dy2097nr|Intel Core I7 11th Gen|Windows 11 Home|256 GB SSD|Intel Iris Xe Graphics|12 GB DDR4|15.6"" Display|2B5G1UA#ABA",Generic,15 Inches,None,None,nan,None,Intel,None,394 pounds,None,16 GB,None,nan,$695.98
"Generic New 15.6"" HD Laptop Replacement LED LCD Screen Compatible with Dell Inspiron 15-3000 (B156XTN04.0 NON TOUCH)",Generic,156 Inches,None,None,4.5 out of 5 stars,None,None,None,112 ounces,None,None,None,34 ratings,$75.21
