Title,Brand,Screen_Size,Ram,Rating,Disk_size,Price_dollar,Price_npr
"MSI GF63 Thin 3050 Gaming Laptop, 15.6"" FHD 144Hz IPS Display, 11th Gen Core i5-11400H, GeForce RTX 3050 4GB, 16GB DDR4 RAM, 1TB PCIe SSD, USB-C, RJ45, WiFi 6, Backlit Keyboard, Win 11",MSI,15.6,16.0,4.1,1024.0,699.99,92895.6729
MSI Katana GF76 Gaming Laptop,MSI,17.3,16.0,0.0,1024.0,1099.0,145848.29
"2022 MSI GF65 Thin 15.6"" FHD 144Hz Gaming Laptop - Intel i7-10750H 6 Cores - NVIDIA GeForce RTX 3060 Max-Q 6GB GDDR6 - 64GB DDR4 - 2TB NVMe SSD - WiFi 6 RJ-45 Win 10 Pro w/ 32GB USB Drive",MSI,15.6,64.0,3.7,2048.0,1649.0,218838.79
"2022 MSI M16 Creator 16"" QHD+ (2560x1600) Laptop 12th Intel i7-12700H 14-Core 16GB DDR4 512GB NVMe SSD NVIDIA GeForce RTX 3060 6GB Backlit KB Hi-Res Audio Windows 11 Pro WiFi 6 w/RATZK 32GB USB",MSI,15.6,16.0,4.0,512.0,1649.0,218838.79
"MSI Prestige 14 EVO 14"" FHD Ultra Thin and Light Professional Laptop: Intel Core i5-1240P Iris Xe 16GB LPDDR4X 1TB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Pro: Carbon Gray A12M-012",MSI,14.0,16.0,0.0,512.0,1072.3,142304.933
"MSI GF63 Thin 9RCX -615 15.6"" Gaming Laptop, Intel Core i5-9300H, NVIDIA GTX 1050Ti, 8GB, 512GB NVMe SSD, Win10",MSI,15.6,8.0,4.5,512.0,619.0,82147.49
"MSI Alpha 17 17.3"" 144Hz Gaming Laptop AMD Ryzen 7 5800H 16GB RAM 512GB SSD AMD Radeon RX 6600M 8GB GDDR6",MSI,17.3,16.0,5.0,512.0,1499.98,199062.3458
"EXCaliberPC 2022 MSI Raider GE66 12UGS-238 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3070Ti 8GB, 15.6"" QHD 240Hz, Windows 11) Gaming Laptop",EXCaliberPC,15.6,32.0,5.0,1024.0,1899.0,252016.29
"MSI GF65 Gaming Laptop: 15.6"" 144Hz FHD 1080p, Intel Core i7-10750H, NVIDIA GeForce RTX 3050, 8GB, 512GB NVMe SSD, Red Keyboard, Win 10, Black (10UC-439)",MSI,15.6,8.0,3.9,512.0,999.0,132577.29
"2022 MSI Stealth 15M B12UE-040 (i7-1260P, 32GB RAM, 1TB NVMe SSD, RTX 3060 6GB, 15.6"" FHD 144Hz, Windows 11 Pro) Gaming Laptop",EXCaliberPC,15.6,32.0,2.5,1024.0,1679.0,222820.09000000003
"MSI Crosshair17 17.3"" 144Hz FHD Gaming Laptop Intel Core i7-11800H RTX3060 16GB 512GBNVMe SSD Win10",MSI,17.3,16.0,4.5,512.0,1624.92,215643.1332
"MSI GF75 Thin 17.3"" Gaming Laptop Core i7-10750H 16GB RAM 512GB SSD 144Hz GTX 1660 Ti 6GB - 10th Gen i7-10750H Hexa-core - NVIDIA GeForce GTX 1660 Ti 6GB - 144 Hz Refresh Rate - Up to 5 GHz CPU S",MSI,17.3,16.0,4.4,512.0,1249.99,165886.1729
"MSI Prestige 14 14"" FHD Ultra Thin and Light Professional Laptop: Intel Core i7-1260P RTX 3050 16GB LPDDR4X 512GB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Pro: Carbon Gray A12UC-006",MSI,14.0,16.0,0.0,512.0,1199.0,159119.29
"MSI Prestige 15 Thin and Performance Driven Laptop: 15.6"" FHD 1080p, Intel Core i5- 155G7, NVIDIA GeForce GTX 1650, 16GB, 512GB SSD, Thunderbolt, WiFi 6E, Win10PRO, Carbon Gray (A11SC-048)",MSI,15.6,16.0,0.0,512.0,891.82,118353.43220000001
"MSI P65 Creator-1084 15.6"" 4K UHD Display, Ultra-Thin and Light, RTX Studio Laptop, Intel Core i7-9750H, GeForce RTX 2060, 32GB DDR4, 1TB Teton Glacier SSD, Win10PRO, VR Ready",MSI,15.6,32.0,4.2,1024.0,2499.0,331642.29000000004
"MSI Creator 15 A10SGS-040 15.6"" 4K Ultra HD VR-Ready Gaming Notebook Computer, Intel Core i7-10875H 2.3GHz, 32GB RAM, 2TB SSD, NVIDIA GeForce RTX 2080 Super Max-Q 8GB, Windows 10 Pro",MSI,15.6,32.0,0.0,2048.0,4499.0,597062.29
